Product_ID,Product_Name,Brand,Generic_Name,Category_ID,Dosage,Form,Pack_Size,MRP,Purchase_Price,Selling_Price,Shelf_Life_Months,Prescription_Required
1,Azithromycin 650mg Tablet,Mankind,Azithromycin,8,650mg,Tablet,Tube 30g,159.14,115.9,159.14,25,Yes
2,Amlodipine 5ml Injection,Sun Pharma,Amlodipine,8,5ml,Injection,Strip of 15,736.78,537.96,736.78,58,Yes
3,Omeprazole 250mg Syrup,Cipla,Omeprazole,1,250mg,Syrup,Tube 30g,46.34,32.2,46.34,55,Yes
4,Cetirizine 500mg Cream,Sun Pharma,Cetirizine,9,500mg,Cream,Bottle of 100ml,921.17,720.12,921.17,34,Yes
5,Metformin 250mg Syrup,Pfizer,Metformin,2,250mg,Syrup,Bottle of 100ml,511.09,396.03,511.09,52,No
6,Amoxicillin 5ml Cream,Zydus,Amoxicillin,4,5ml,Cream,Strip of 15,619.11,478.61,619.11,30,No
7,Losartan 250mg Cream,Abbott,Losartan,7,250mg,Cream,Tube 30g,586.67,424.23,586.67,54,Yes
8,Pantoprazole 250mg Syrup,GSK,Pantoprazole,3,250mg,Syrup,Vial,537.97,351.04,537.97,37,No
9,Amlodipine 250mg Injection,Sun Pharma,Amlodipine,10,250mg,Injection,Vial,384.06,289.77,384.06,49,No
10,Azithromycin 500mg Cream,Dr. Reddy's,Azithromycin,9,500mg,Cream,Vial,1178.85,861.92,1178.85,26,No
11,Losartan 650mg Cream,Zydus,Losartan,9,650mg,Cream,Vial,561.78,326.27,561.78,58,Yes
12,Cetirizine 10mg Capsule,GSK,Cetirizine,1,10mg,Capsule,Tube 30g,937.33,526.45,937.33,35,Yes
13,Losartan 650mg Injection,Abbott,Losartan,9,650mg,Injection,Vial,509.02,254.75,509.02,51,No
14,Amlodipine 500mg Tablet,Mankind,Amlodipine,3,500mg,Tablet,Strip of 10,769.74,512.05,769.74,47,No
15,Paracetamol 250mg Tablet,Cipla,Paracetamol,5,250mg,Tablet,Bottle of 100ml,554.54,402.73,554.54,29,Yes
16,Omeprazole 650mg Syrup,Dr. Reddy's,Omeprazole,9,650mg,Syrup,Bottle of 100ml,102.03,55.9,102.03,54,No
17,Atorvastatin 5ml Syrup,Pfizer,Atorvastatin,7,5ml,Syrup,Strip of 15,579.05,293.63,579.05,38,Yes
18,Atorvastatin 20mg Syrup,Cipla,Atorvastatin,10,20mg,Syrup,Tube 30g,621.94,349.98,621.94,13,Yes
19,Paracetamol 250mg Capsule,Abbott,Paracetamol,9,250mg,Capsule,Tube 30g,868.23,475.85,868.23,46,Yes
20,Losartan 10mg Capsule,Pfizer,Losartan,10,10mg,Capsule,Strip of 15,785.24,485.65,785.24,54,No
21,Paracetamol 500mg Capsule,Lupin,Paracetamol,2,500mg,Capsule,Strip of 15,1053.13,623.36,1053.13,31,Yes
22,Cetirizine 500mg Syrup,Mankind,Cetirizine,1,500mg,Syrup,Vial,30.01,22.92,30.01,25,No
23,Azithromycin 250mg Cream,Mankind,Azithromycin,4,250mg,Cream,Vial,466.0,281.5,466.0,55,No
24,Omeprazole 250mg Injection,Torrent,Omeprazole,9,250mg,Injection,Tube 30g,1126.79,695.25,1126.79,13,No
25,Omeprazole 250mg Syrup,Abbott,Omeprazole,10,250mg,Syrup,Bottle of 100ml,205.22,155.41,205.22,33,No
26,Metformin 5ml Tablet,Lupin,Metformin,9,5ml,Tablet,Tube 30g,1119.98,675.52,1119.98,46,Yes
27,Amoxicillin 500mg Tablet,Sun Pharma,Amoxicillin,4,500mg,Tablet,Strip of 15,220.24,170.31,220.24,60,No
28,Omeprazole 650mg Syrup,GSK,Omeprazole,4,650mg,Syrup,Vial,419.84,224.27,419.84,57,No
29,Azithromycin 250mg Cream,Mankind,Azithromycin,7,250mg,Cream,Bottle of 100ml,398.46,247.83,398.46,20,No
30,Amoxicillin 5ml Cream,Mankind,Amoxicillin,10,5ml,Cream,Strip of 10,110.45,73.46,110.45,29,No
31,Atorvastatin 250mg Cream,Mankind,Atorvastatin,1,250mg,Cream,Strip of 15,560.17,326.67,560.17,12,Yes
32,Amoxicillin 250mg Tablet,Abbott,Amoxicillin,10,250mg,Tablet,Tube 30g,241.75,177.84,241.75,22,Yes
33,Amlodipine 500mg Capsule,Dr. Reddy's,Amlodipine,7,500mg,Capsule,Vial,897.93,476.67,897.93,30,No
34,Amlodipine 500mg Tablet,Zydus,Amlodipine,1,500mg,Tablet,Strip of 15,789.42,404.09,789.42,58,No
35,Amlodipine 5ml Syrup,Abbott,Amlodipine,10,5ml,Syrup,Tube 30g,94.3,72.99,94.3,19,No
36,Metformin 20mg Cream,Mankind,Metformin,3,20mg,Cream,Vial,573.33,347.87,573.33,25,No
37,Metformin 250mg Syrup,Torrent,Metformin,8,250mg,Syrup,Strip of 10,987.57,520.28,987.57,53,No
38,Metformin 250mg Syrup,Abbott,Metformin,10,250mg,Syrup,Strip of 15,406.14,241.66,406.14,27,No
39,Amoxicillin 10mg Cream,GSK,Amoxicillin,4,10mg,Cream,Strip of 10,972.93,513.33,972.93,27,No
40,Amoxicillin 250mg Cream,Lupin,Amoxicillin,1,250mg,Cream,Strip of 15,880.42,445.89,880.42,60,No
41,Amlodipine 250mg Capsule,Pfizer,Amlodipine,2,250mg,Capsule,Vial,611.69,451.73,611.69,54,Yes
42,Azithromycin 650mg Capsule,Dr. Reddy's,Azithromycin,10,650mg,Capsule,Strip of 15,380.63,271.31,380.63,20,Yes
